GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
TOTENV_4,Age-standardized DALYs attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4658,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE060,Noncommunicable diseases,,4 595,4595.10422,,,,,
TOTENV_3,Disability-adjusted life years (DALYs) attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4654,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE001,"Infectious, parasitic, neonatal and nutritional",,15 813,15813.00000,,,,,
TOTENV_6,Disability-adjusted life years (DALYs) attributable to the environment (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4657,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE000,Total,,25,0.25000,,,,,
TOTENV_1,Deaths attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4653,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE001,"Infectious, parasitic, neonatal and nutritional",,198,198.00000,,,,,
TOTENV_1,Deaths attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4653,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE151,Injuries,,490,490.00000,,,,,
TOTENV_1,Deaths attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4653,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE060,Noncommunicable diseases,,571,571.00000,,,,,
TOTENV_4,Age-standardized DALYs attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4658,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE001,"Infectious, parasitic, neonatal and nutritional",,2 090,2090.45279,,,,,
TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4656,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE001,"Infectious, parasitic, neonatal and nutritional",,29,29.18168,,,,,
TOTENV_4,Age-standardized DALYs attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4658,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE151,Injuries,,3 889,3888.63637,,,,,
TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4656,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE151,Injuries,,72,72.03311,,,,,
TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4656,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE060,Noncommunicable diseases,,124,123.51493,,,,,
TOTENV_3,Disability-adjusted life years (DALYs) attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4654,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE000,Total,,70 261,70261.00000,,,,,
TOTENV_1,Deaths attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4653,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE000,Total,,1 259,1259.00000,,,,,
TOTENV_5,Deaths attributable to the environment (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4655,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE000,Total,,26,0.26000,,,,,
TOTENV_4,Age-standardized DALYs attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4658,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE000,Total,,10 574,10574.19338,,,,,
TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4656,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE000,Total,,225,224.72972,,,,,
AIR_44,DALYs attributable to ambient air pollution (age-standardized),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,9 477,9476.50284,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,GHE039,Lower respiratory infections,,,,,1876,1876.35193,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,GHE118,Chronic obstructive pulmonary disease,,,,,1005,1005.30463,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,GHE068,"Trachea, bronchus, lung cancers",,,,,465,465.44565,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,GHE113,Ischaemic heart disease,,,,,2333,2332.67285,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,GHE114,Stroke,,,,,1452,1452.05652,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,GHE000,All Causes,,,,,3 995 [3 995 - 4 967],3995.09522,3175.00000,4967.00000,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,GHE039,Lower respiratory infections,,,,,1064,1064.25159,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,GHE118,Chronic obstructive pulmonary disease,,,,,608,608.13989,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,GHE068,"Trachea, bronchus, lung cancers",,,,,233,233.36253,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,GHE113,Ischaemic heart disease,,,,,1433,1432.59888,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,GHE114,Stroke,,,,,657,656.74237,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,GHE000,All Causes,,,,,3 137 [2 504 - 3 873],3136.73633,2504.00000,3873.00000,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,GHE068,"Trachea, bronchus, lung cancers",,,,,232,232.08310,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,GHE118,Chronic obstructive pulmonary disease,,,,,397,397.16473,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,GHE114,Stroke,,,,,795,795.31409,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,GHE039,Lower respiratory infections,,,,,812,812.10040,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,GHE113,Ischaemic heart disease,,,,,900,900.07404,,,,,
AIR_43,Ambient air pollution attributable DALYs (please see AIR_7),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,GHE000,All Causes,,,,,7 132 [5 679 - 8 840],7131.83154,5679.00000,8840.00000,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,11 [4-22],11.11211,3.85352,21.79784,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,21 [14-27],20.73895,13.59619,26.51588,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE039,Lower respiratory infections,,5 [3-7],4.98620,3.08726,6.89973,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE114,Stroke,,7 [4-11],7.00215,3.61527,10.55607,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE000,Total,,45 [33-58],44.50803,32.66777,57.88387,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,1 [0-1],0.66862,0.38471,1.03075,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,11 [4-22],11.31098,3.92248,22.18796,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,17 [11-21],16.52448,10.83324,21.12745,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,,,,ENVCAUSE039,Lower respiratory infections,,5 [3-7],4.93032,3.05266,6.82239,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,,,,ENVCAUSE114,Stroke,,7 [3-10],6.67028,3.44392,10.05575,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,,,,ENVCAUSE000,Total,,40 [29-53],40.15230,29.30231,53.14731,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,1 [0-1],0.71625,0.41211,1.10417,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,11 [4-21],10.93630,3.79255,21.45297,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,24 [16-31],24.46469,16.03874,31.27944,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,,,,ENVCAUSE039,Lower respiratory infections,,5 [3-7],5.03561,3.11785,6.96809,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,,,,ENVCAUSE114,Stroke,,7 [4-11],7.29554,3.76675,10.99836,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,,,,ENVCAUSE000,Total,,48 [35-63],48.35864,35.47172,62.51892,,,
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,MLE,Male,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,1 [0-1],0.62651,0.36048,0.96583,,,
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,85 [29-166],84.79583,29.40595,166.33802,,,
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,158 [104-202],158.25770,103.75173,202.34112,,,
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE039,Lower respiratory infections,,38 [24-53],38.04941,23.55871,52.65142,,,
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE114,Stroke,,53 [28-81],53.43299,27.58792,80.55270,,,
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE000,Total,,340 [249-442],339.63810,249.28579,441.70831,,,
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,BTSX,Both sexes,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,5 [3-8],5.10217,2.93568,7.86556,,,
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,,,,BTN,Bhutan,,,,,FMLE,Female,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,41 [14-79],40.50033,14.04492,79.44664,,,
